Time,Latitude,Longitude,Course,feet
Tue 04:11:21 PM,45.1057,-73.0964,→ 88°,"37,000"
Tue 04:11:51 PM,45.109,-72.9881,→ 88°,"37,000"
Tue 04:12:22 PM,45.1121,-72.8814,→ 88°,"37,000"
Tue 04:12:52 PM,45.1153,-72.7727,→ 88°,"37,000"
Tue 04:13:23 PM,45.1185,-72.6559,→ 88°,"37,000"
Tue 04:13:53 PM,45.1212,-72.5554,→ 88°,"37,000"
Tue 04:14:23 PM,45.124,-72.4456,→ 88°,"37,000"
Tue 04:14:54 PM,45.1267,-72.3388,→ 88°,"37,000"
Tue 04:15:24 PM,45.1293,-72.2295,→ 88°,"37,000"
Tue 04:15:54 PM,45.1318,-72.1199,→ 88°,"37,000"
Tue 04:16:24 PM,45.1342,-72.0138,→ 88°,"37,000"
Tue 04:16:54 PM,45.1365,-71.9023,→ 88°,"37,000"
Tue 04:17:24 PM,45.1387,-71.7958,→ 89°,"37,000"
Tue 04:17:54 PM,45.1406,-71.6874,→ 89°,"37,000"
Tue 04:18:20 PM,45.1384,-71.5907,→ 94°,"37,000"
Tue 04:18:49 PM,45.1295,-71.488,→ 100°,"37,000"
Tue 04:19:20 PM,45.114,-71.3779,→ 101°,"37,000"
Tue 04:19:50 PM,45.0993,-71.2705,→ 101°,"37,000"
Tue 04:20:20 PM,45.0844,-71.1619,→ 101°,"37,000"
Tue 04:20:50 PM,45.0698,-71.0581,→ 101°,"37,000"
Tue 04:21:20 PM,45.0547,-70.952,→ 101°,"37,000"
Tue 04:21:50 PM,45.0398,-70.8483,→ 102°,"37,000"
Tue 04:22:20 PM,45.0239,-70.7371,→ 102°,"37,000"
Tue 04:22:50 PM,45.0083,-70.6306,→ 102°,"37,000"
Tue 04:23:20 PM,44.9928,-70.5237,→ 102°,"37,000"
Tue 04:23:50 PM,44.9773,-70.4188,→ 102°,"37,000"
Tue 04:24:20 PM,44.9613,-70.3104,→ 102°,"37,000"
Tue 04:24:50 PM,44.9457,-70.2055,→ 102°,"37,000"
Tue 04:25:20 PM,44.9298,-70.0998,→ 102°,"37,000"
Tue 04:25:50 PM,44.9136,-69.9929,→ 102°,"37,000"
Tue 04:26:20 PM,44.8968,-69.8823,→ 102°,"37,000"
Tue 04:26:50 PM,44.8809,-69.7789,→ 102°,"37,000"
Tue 04:27:21 PM,44.8641,-69.6695,→ 102°,"37,000"
Tue 04:27:51 PM,44.8476,-69.5633,→ 102°,"37,000"
Tue 04:28:21 PM,44.8302,-69.4519,→ 103°,"37,000"
Tue 04:28:51 PM,44.813,-69.3431,→ 103°,"37,000"
Tue 04:29:21 PM,44.7965,-69.2385,→ 103°,"37,000"
Tue 04:29:51 PM,44.779,-69.1292,→ 103°,"37,000"
Tue 04:30:21 PM,44.762,-69.0229,→ 103°,"37,000"
Tue 04:30:51 PM,44.7451,-68.9182,→ 103°,"37,000"
Tue 04:31:21 PM,44.7275,-68.8098,→ 103°,"37,000"
Tue 04:31:51 PM,44.71,-68.703,→ 103°,"37,000"
Tue 04:32:21 PM,44.6921,-68.5938,→ 103°,"37,000"
Tue 04:32:51 PM,44.6743,-68.4867,→ 103°,"37,000"
Tue 04:33:22 PM,44.6562,-68.3785,→ 103°,"37,000"
Tue 04:33:52 PM,44.6376,-68.2672,→ 103°,"37,000"
Tue 04:34:22 PM,44.6195,-68.1604,→ 103°,"37,000"
Tue 04:34:52 PM,44.6013,-68.0525,→ 104°,"37,000"
Tue 04:35:23 PM,44.5819,-67.9392,→ 104°,"37,000"
Tue 04:35:53 PM,44.5639,-67.8348,→ 104°,"37,000"
Tue 04:36:23 PM,44.5451,-67.7262,→ 104°,"37,000"
Tue 04:36:53 PM,44.5267,-67.6206,→ 104°,"37,000"
Tue 04:37:23 PM,44.5078,-67.5125,→ 104°,"37,000"
Tue 04:37:53 PM,44.4885,-67.4028,→ 104°,"37,000"
Tue 04:38:23 PM,44.469,-67.293,→ 104°,"37,000"
Tue 04:38:53 PM,44.4498,-67.1855,→ 104°,"37,000"
Tue 04:39:23 PM,44.4303,-67.0763,→ 104°,"37,000"
Tue 04:39:54 PM,44.4102,-66.9656,→ 104°,"37,000"
Tue 04:40:24 PM,44.3915,-66.8551,→ 103°,"37,000"
Tue 04:40:54 PM,44.3737,-66.747,→ 103°,"37,000"
Tue 04:41:24 PM,44.3556,-66.6402,→ 103°,"37,000"
Tue 04:41:54 PM,44.3364,-66.5284,→ 104°,"37,000"
Tue 04:42:24 PM,44.3181,-66.4223,→ 104°,"37,000"
Tue 04:42:54 PM,44.2993,-66.3138,→ 104°,"37,000"
Tue 04:43:24 PM,44.2804,-66.2056,→ 104°,"37,000"
Tue 04:43:54 PM,44.2615,-66.0982,→ 104°,"37,000"
Tue 04:44:24 PM,44.2417,-65.9862,→ 104°,"37,000"
Tue 04:44:54 PM,44.2225,-65.8782,→ 104°,"37,000"
Tue 04:45:24 PM,44.2036,-65.7728,→ 104°,"37,000"
Tue 04:45:54 PM,44.1833,-65.66,→ 104°,"37,000"
Tue 04:46:24 PM,44.1639,-65.5529,→ 104°,"37,000"
Tue 04:46:54 PM,44.1443,-65.4452,→ 104°,"37,000"
Tue 04:47:24 PM,44.1245,-65.3368,→ 104°,"37,000"
Tue 04:47:55 PM,44.1028,-65.2191,→ 104°,"37,000"
Tue 04:48:25 PM,44.0843,-65.1194,→ 105°,"37,000"
Tue 04:48:57 PM,44.0614,-64.9967,→ 105°,"37,000"
Tue 04:49:28 PM,44.0412,-64.889,→ 105°,"37,000"
Tue 04:49:58 PM,44.0211,-64.7825,→ 105°,"37,000"
Tue 04:50:29 PM,43.9992,-64.6672,→ 105°,"37,000"
Tue 04:50:59 PM,43.9786,-64.5598,→ 105°,"37,000"
Tue 04:51:30 PM,43.9562,-64.4432,→ 105°,"37,000"
Tue 04:52:00 PM,43.9357,-64.3367,→ 105°,"37,000"
Tue 04:52:31 PM,43.9143,-64.2266,→ 105°,"37,000"
Tue 04:53:01 PM,43.8925,-64.1148,→ 105°,"37,000"
Tue 04:53:32 PM,43.87,-64.0003,→ 105°,"37,000"
