Time,Latitude,Longitude,Course,feet
Thu 02:00:36 PM,47.9973,-76.241,↗ 32°,"33,000"
Thu 02:01:06 PM,48.06,-76.1827,↗ 32°,"33,000"
Thu 02:01:36 PM,48.123,-76.1239,↗ 32°,"33,000"
Thu 02:02:06 PM,48.1863,-76.0648,↗ 32°,"33,000"
Thu 02:02:41 PM,48.257,-75.9984,↗ 32°,"33,000"
Thu 02:03:19 PM,48.3375,-75.9228,↗ 32°,"33,000"
Thu 02:03:57 PM,48.4172,-75.8476,↗ 32°,"33,000"
Thu 02:04:27 PM,48.4797,-75.7884,↗ 32°,"33,000"
Thu 02:04:58 PM,48.5462,-75.7252,↗ 32°,"33,000"
Thu 02:05:28 PM,48.6084,-75.6659,↗ 32°,"33,000"
Thu 02:06:01 PM,48.677,-75.6003,↗ 32°,"33,000"
Thu 02:06:31 PM,48.7401,-75.5397,↗ 32°,"33,000"
Thu 02:07:01 PM,48.8031,-75.4791,↗ 33°,"33,000"
Thu 02:07:31 PM,48.8665,-75.4179,↗ 33°,"33,000"
Thu 02:08:01 PM,48.9295,-75.3569,↗ 33°,"33,000"
Thu 02:08:31 PM,48.9913,-75.2969,↗ 33°,"33,000"
Thu 02:09:01 PM,49.0546,-75.2353,↗ 33°,"33,000"
Thu 02:09:31 PM,49.1174,-75.174,↗ 33°,"33,000"
Thu 02:10:02 PM,49.1803,-75.1124,↗ 33°,"33,000"
Thu 02:10:32 PM,49.2428,-75.0509,↗ 33°,"33,000"
Thu 02:11:02 PM,49.3052,-74.9894,↗ 33°,"33,000"
Thu 02:11:32 PM,49.3671,-74.9282,↗ 33°,"33,000"
Thu 02:12:05 PM,49.4361,-74.8598,↗ 33°,"33,000"
Thu 02:12:35 PM,49.4986,-74.7977,↗ 33°,"33,000"
Thu 02:13:11 PM,49.5709,-74.7253,↗ 33°,"33,000"
Thu 02:13:42 PM,49.6364,-74.6597,↗ 33°,"33,000"
Thu 02:14:12 PM,49.6968,-74.599,↗ 33°,"33,000"
Thu 02:14:52 PM,49.7808,-74.5125,↗ 35°,"33,000"
Thu 02:15:23 PM,49.8415,-74.4422,↗ 38°,"33,000"
Thu 02:15:53 PM,49.9007,-74.3683,↗ 39°,"33,000"
Thu 02:16:23 PM,49.9584,-74.2956,↗ 39°,"33,000"
Thu 02:16:54 PM,50.0169,-74.2212,↗ 39°,"33,000"
Thu 02:17:24 PM,50.0742,-74.1484,↗ 39°,"33,000"
Thu 02:17:54 PM,50.1318,-74.075,↗ 39°,"33,000"
Thu 02:18:24 PM,50.1896,-74.001,↗ 40°,"33,000"
Thu 02:18:54 PM,50.2471,-73.9273,↗ 39°,"33,000"
Thu 02:19:29 PM,50.3121,-73.8436,↗ 40°,"33,000"
Thu 02:20:24 PM,50.4184,-73.706,↗ 40°,"33,000"
Thu 02:20:55 PM,50.476,-73.6312,↗ 40°,"33,000"
Thu 02:21:25 PM,50.5323,-73.5579,↗ 40°,"33,000"
Thu 02:21:55 PM,50.5895,-73.483,↗ 40°,"33,000"
Thu 02:22:25 PM,50.6459,-73.4089,↗ 40°,"33,000"
Thu 02:22:55 PM,50.7021,-73.335,↗ 40°,"33,000"
Thu 02:23:55 PM,50.8152,-73.1853,↗ 40°,"33,000"
Thu 02:24:25 PM,50.8699,-73.1127,↗ 40°,"33,000"
Thu 02:24:56 PM,50.9271,-73.0364,↗ 40°,"33,000"
Thu 02:25:56 PM,51.0387,-72.8869,↗ 40°,"33,000"
Thu 02:26:26 PM,51.0956,-72.8101,↗ 40°,"33,000"
Thu 02:27:26 PM,51.2056,-72.661,↗ 41°,"33,000"
Thu 02:27:56 PM,51.2587,-72.589,↗ 41°,"33,000"
Thu 02:28:26 PM,51.3162,-72.5105,↗ 41°,"33,000"
Thu 02:29:21 PM,51.4161,-72.3735,↗ 41°,"33,000"
Thu 02:30:53 PM,51.5667,-72.1833,↗ 41°,"33,000"
Thu 02:32:16 PM,51.7167,-71.95,↗ 44°,"33,000"
Thu 02:33:54 PM,51.8833,-71.7333,↗ 39°,"33,000"
Thu 02:35:16 PM,52.0333,-71.4667,↗ 48°,"33,000"
Thu 02:36:16 PM,52.1333,-71.3333,↗ 39°,"33,000"
Thu 02:37:16 PM,52.25,-71.1833,↗ 38°,"33,000"
Thu 02:38:16 PM,52.35,-71.0333,↗ 42°,"33,000"
Thu 02:39:16 PM,52.45,-70.8833,↗ 42°,"33,000"
Thu 02:40:16 PM,52.5667,-70.7,↗ 44°,"33,000"
Thu 02:41:16 PM,52.6833,-70.55,↗ 38°,"33,000"
Thu 02:42:16 PM,52.7667,-70.4,↗ 47°,"33,000"
Thu 02:43:22 PM,52.8999,-70.2365,↗ 42°,"33,000"
Thu 02:44:04 PM,52.973,-70.126,↗ 42°,"33,000"
Thu 02:45:04 PM,53.0776,-69.9667,↗ 43°,"33,000"
Thu 02:46:16 PM,53.2,-69.75,↗ 43°,"33,000"
Thu 02:47:25 PM,53.3256,-69.5852,↗ 43°,"33,000"
Thu 02:48:18 PM,53.4183,-69.4405,↗ 43°,"33,000"
Thu 02:48:49 PM,53.4736,-69.3542,↗ 43°,"33,000"
Thu 02:49:45 PM,53.5699,-69.2026,↗ 43°,"33,000"
Thu 02:50:54 PM,53.6833,-69.0333,↗ 43°,"33,000"
Thu 02:52:16 PM,53.8333,-68.7667,↗ 46°,"33,000"
Thu 02:53:16 PM,53.9167,-68.6,↗ 50°,"33,000"
Thu 02:54:17 PM,54.0382,-68.452,↗ 43°,"33,000"
Thu 02:55:17 PM,54.1333,-68.25,↗ 43°,"33,000"
Thu 02:56:16 PM,54.25,-68.1167,↗ 34°,"33,000"
Thu 02:57:16 PM,54.3333,-67.9833,↗ 43°,"33,000"
Thu 02:58:16 PM,54.4667,-67.8167,↗ 36°,"33,000"
Thu 02:59:17 PM,54.5667,-67.65,↗ 44°,"33,000"
Thu 03:00:54 PM,54.7333,-67.45,↗ 35°,"33,000"
Thu 03:02:16 PM,54.8667,-67.1667,↗ 51°,"33,000"
Thu 03:03:16 PM,54.9833,-67.0333,↗ 33°,"33,000"
Thu 03:04:48 PM,55.15,-66.9167,↗ 22°,"33,000"
Thu 03:06:17 PM,55.3,-66.5333,↗ 55°,"33,000"
Thu 03:07:16 PM,55.4,-66.4,↗ 37°,"33,000"
Thu 03:08:16 PM,55.5167,-66.2167,↗ 42°,"33,000"
