Airlinnes
Titan Airways
Tradewind Aviation
Comlux Aviation
Master Top Linhas Aereas
Flair Airlines
Swift Air
DCA
ACM AIR CHARTER GmbH
Inter Island Airways
Nova Air
JetClub AG
Vision Airlines
Metropix UKLLP
Air Choice One
Open Skies
Flying Service NV
TAG Aviation  
TAG Aviation Espana SL
CorporatejetsXXI
Comlux Malta
Ocean Sky Limited
Avjet Corporation
Comlux Malta 
Swiss Air Ambulance
Unijet
Chartright Air 
London Air Services Limited
Air Alsie A/S
PSA Airlines 
Piedmont Airlines
Albinati Aeronautics SA
Charter Air Transport
Dynamic Airways
Island Airlines 
KaiserAir
Alsek Air
International Jet Management GmbH
Sky Trek International Airlines
Jet link AG
Exec Direct Aviation Services Limited
Bertelsmann Aviation GmbH
Twin Cities Air Service 
JSC The 224th Flight Unit State Airlines
Makani Kai Air Charters
City Wings dba Seaflight
Sun Air Express  dba Sun Air International
Star Marianas Air 
Rhoades Aviation dba Transair
Gainjet Aviation SA
Scott Air  dba Island Air Express
Ultimate JetCharters  dba Ultimate Air Shuttle
Dassault Falcon Service
Smokey Bay Air 
Frontier Flying Service
Aerolineas Galapagos S A Aerogal
Midway Express Airlines
Island Air Service
Regal Air
Canada 3000 Airlines 
Valley Air Express 
Zeal 320
Regions Air
Pacific Airways
Silver Airways
AeroLogic GmbH
Sichuan Airlines Co 
Boutique Air
Olson Air Service
Aerovias de Intergracian Regional
Tanana Air Service
British Airtours Limited
Belize Trans Air
LAN Argentina
Lan Dominica
Air North
ABC Aerolineas SA de CV dba Interjet
Regent Air Corporation
Sol Air 
Conner Air Lines 
Belair Airlines 
Warbelow
Yute Air Aka Flight Alaska
Bellair 
CAL Cargo Airlines
Aerolitoral
Arctic Circle Air Service
Skyservice Airlines
Queen Air
Private Jet Expeditions
Aerosur
United Parcel Service
Atlas Air 
Aviacsa Airlines
TUIfly Nordic AB
Cape Smythe Air Service
Laker Airways 
Israir Airlines
Pacific East Air 
Aerounion Aerotransporte de Carga Union SA de CV
Air Ukraine
Nicaraguense De Aviacion Sa
Krasair
Jeju Air Co 
First Air
MK Airlines 
Bellair 
Era Aviation
Insel Air International B V
Aeromonterrey SA
Inland Aviation Services
Apa International Air SA
Pan American World Airways Dominicana
Arctic Transportation
Skystar International 
Lb Limited
Air Transport International
Servant Air 
Bering Air 
Wilburs 
Jetall Airways
Servicio Aereo Leo Lopez
Flagship Airlines 
Baker Aviation 
Edelweiss Air Ag
Wright Air Service
Endeavor Air 
Pacific Island Aviation
Cape Air
Colgan Air
Central Mountain Air
ANA & JP Express Co 
Flagship Express Services
Southern Air 
TravelspanGTSA
Avior AirlinesCA
Jet Airways Limited
L'Avion
Cielos De Peru
Southern Wind Airlines
Air Comet SA
Air 21
American Airlines 
Associated Aviation Act
Antilles Air Boats 
AAA Airlines
Audi Air 
Argosy Air Lines 
Armstrong Air Service 
Advance Air Charters
Altair Airlines 
Air Sunshine 
Alpine Air
Alaska Aeronautical Indust
Air Berlin PLC and CO
Air Bahia
Airbama orporated
Aeronaves Boringuena 
ABX Air
Air Canada
Alaska Central Airways 
Academy Airlines
Air Cargo Express 
Island Airlines Hawaii 
AAA-Action Air Carrier 
Atlantic Coast Jet 
Air Central 
Check-Air 
Alliance Airlines
Air Cargo Enterprises 
Air Chaparral 
Aeronautica De Cancun
Alamo Commuter Airlines
Air Central 
Transwest Air Express
Avia Leasing Company
Antonov Company
Aeronaves Del Peru
Adirondack Airlines
Advantage Airlines
Air Europe Limited
Astec Air East 
Air East Of Delaware 
Aero Freight
Aero Coach
Air Caravane 
Air Excursions  
Compagnie Natl Air France
American Flag Airlines 
Air Florida Express
American Flight Group
Aero B Venezuela CA
Arcata Flying Service
Air Cargo America 
Argo S A
Air Alpha
Air Hawaii
Air National
Air India
All Island Air
Air Caribbean
Air Express 
Airgo 
Air Ketchum Idaho 
Air Mont 
Air Indiana
Norontair
Airways International
Alliance Air
Air Micronesia 
Aerodynamics 
Airmark Airlines 
Skyway Airlines
Allied Airlines
Air-Lift Associates 
Brandt Air
Air Link Airways
All Seasons Air Pacific
Alberta Northern Airlines
Air LA
Altus Airlines
Aleutian Air
Atlanta Express
Aeromexico
North American Airlines 
Americair 
American Inter-Island 
Ameristar Air Cargo
AvAir
American Air Transport
Air Nebraska 
Atlantic Air
Southcentral Air 
Dash Air Corporation
Airways Of New Mexico 
Metro Air Northeast Vermont
Air North/Nenana
Aviacion Y Comercio SA
Trans New York
Action Airlines
Aerovias SA
Air New Orleans
Air Cape
Alpha Air
Arizona Pacific 
Appalachian Flying Service
Aspen Airways 
Alas De Transporte International
Air Spirit 
Air Polynesia 
Air Charter 
Aerolineas Argentinas
Air Resorts Airlines
Air Caribe International
Airlift International
Arizona Aero Corp
Airmarc Airlines 
Arnold Aviation
Air Oregon
Airspur Helicopters 
Aerovias Colombianas Arca
Arrowhead Airways 
Air Sedona
Arizona Airways
Alaska Airlines 
Air South 
Amistad Airlines
Air South
Alpine Air Services 
Air Casino
Asap Air 
Aerosur 
Astor Air
Astro Airways
Air South 
Sunrise Airlines 
Royal Air Maroc
Air Southeast
Air Atlantic Airlines 
Pacific National Airways
Aero Tranportes Panamenos
Atlantis Airlines 
Aerotransit 
Air Carolina
Austin Express 
Aerovias Nacl De Colombia
Air Vectors Airways
Av Center 
Airvantage
Aero Virgin Islands Corp
Aviation Sales
Aero Laguna SA De CV
Air Vermont 
Aviation Services
Southern Jersey Airways
Air West Airlines
Aermediterranea SPA
Trans States Airlines
Aeron International Airlines 
Finnair Oy
Aerodan SA De CV
Compagnia Aerea Italiana
Arizona Pacific Airways
Anglo Airlines 
JetBlue Airways
British Airways Plc
Aero International Airlines
Business Aircraft Corp
Brennan & Hargreaves 
Bankair 
Bangor International Air
Aero Rentas De Coahuila SA De CV
Bard-Air Corp
West Penn Commuter
Burlington Aeroplane Co
Balair Ag
Skymark Airlines 
Baja Cortez Airlines
Bradley Air Services 
British Midland Airways 
Jet Express
Aerotaxis De Aguascalientes SA De CV
Braniff International Airlines 
Business Express Airlines
Bennington Aviation 
Air Belgium
Aeroservices Executive
Beyer Aviation
Markair 
Million Air
Buffalo Airways 
Biman Bangladesh Airlines
Airbus Transport Internat'l
Blackhawk Airways 
Bighorn Airways 
Turks Air  
Big Island Air
Servicios Aeronauticos Z SA De CV
Birchwood Air Service
Taxirey SA De CV
Air Bvi Limited
Belize Air International 
Bremerton Aviation 
Britannia Airways GmbH
Braniff 
NetJets Large Aircraft Company 
Boise Air Service
Bo-S-Aire Airlines 
Transp Aereos Bolivianos
Aeromar C Por A
Eva Airways Corporation
Cal Air International 
Barken International
Brower Airways 
Barrow Air
Brasair Transportes Aereos
Business Helicopters
Wrangler Aviation 
Blue Bell 
Burlington Airways 
Caribbean Airlines Limited
Spantax S A
Britannia Airways 
Bay Air
Abaco Air
Commutair Aka Champlain Enterprises
Canjet Airlines
Cargolux Italia SpA
Chicago Express Airlines
Air China
Coleman Air Transport
California Seaboard
Crawford Aviation 
C & M Airlines
Metro Air Northeast N Y
Challenge Air Luftverkehrs GmbH
Catalina Airlines 
Air Virginia
CAT Aviation
Air One 
Carriba Air 
Air Atlanta Icelandic
Air Atlanta 
Cityhop
Chester County Aviation
Kitty Hawk International
Cen-Tex Airlines 
All Canada Express
Century Airlines 
Compan De Aviacion Faucett
Chicago Airlines
Viking International Airlines 
Chicago Air Taxi
Bemidji Airlines
Chandler Flyer
Charter Airlines
Hammonds Commuter Air Serv
Chitina Air Service
Channel Flying 
Choi Aviation 
Christman Air System
Charter One
China Airlines 
A/S Conair
Cal Sierra Airlines
Colgan Airways 
China Cargo Airline
Inlet Airlines
Capitol International 
Columbia Pacific Airlines
Hawaii Pacific Helicopters
California Air Shuttle
Aero Transcolombiana
Compania Panamena 
Combs Airways 
Command Airways 
Servicio De Carga Aerea Sa
Commuter Airlines 
Centennial Airlines
Continental Air Lines 
Cotton Belt Aviation 
Cochise Airlines 
Coker Aviation 
Presidential Express
Commutair
Coral Air 
Cosmopolitan Comm Airline
Southeastern Commuter
Courtesy Air Service 
Compass Airlines
Canadian Airlines International 
Capitol Air Lines
Coastal Plains Commuter 
Capitol Air Express 
Capitol Air
Conquest Airline Corp
Commuter Airlines
Caribair
Caribbean Express 
Cresent Medivac
Crown Aviaiton 
Crown Airways 
Corporate Air
Crested Butte Air Service
Acropolis Aviation 
Continental Micronesia
Casino Airlines
Catskill Airways 
Central States Air Lines
Chisum Flying Service
Casino Airlines 
Celtic Tech Jet 
Century Airlines
Cothron Aviation
Coastal Air Transport
Custom Air Transport
Chartair
Caicos Caribbean Airways
Custom Air Service
Cargolux Airlines International SA
Catalina-Vegas Airlines
Caraven SA
Air Marshall Islands 
Canadian Aviation Express
Cathay Pacific Airways 
Corse Air International
China Southern Airlines
Cascade Airways 
Aviation Concepts
Dan Air Services
Danbury Airlines
Dauphin Island Airways
Caribbean Air Cargo Co 
Condor Flugdienst
Downeast Airlines 
Decatur Aviation
Downeast Flying Service
Independence Air
Discovery Airways 
DHL Airlines 
DHL Aero Expresso
Drummond Island Air
Dickman Aviation Services
Northern Star
Delta Air Lines 
Maersk Air I/S
Compania Dominicana De Avia
